subset,invariance_score,predictiveness_train,predictiveness_val,predictiveness_test,skill_score_test,regret_cluster_0,regret_cluster_1,regret_cluster_2,regret_cluster_3,regret_cluster_4
"{TA, VPD, SW_IN, SW_IN_POT_daily, dSW_IN_POT_daily, NDWI_SWIR2, PFT}",1.9743106169269737e-06,0.05623857655229573,0.05508838149852076,0.060942641432148996,0.055602866139907205,0.002822301979226137,0.0043305723067869825,0.0014880063256565643,0.003311547940723733,0.005654315261185469
"{VPD, dSW_IN_POT_daily, NDWI_SWIR2, PFT}",3.2511371469438843e-06,0.08566861388096725,0.08137926587835922,0.09335187619758574,-0.5387940080228909,0.0014750801508356254,0.003114176884779593,0.0018139669242890621,0.006221239983237696,0.004826331595036107
"{SW_IN, SW_IN_POT_daily, LST_Day, EVI, NIRv, PFT}",6.262989002279516e-07,0.057227883723074795,0.057159020219757016,0.06135099542001106,0.12529501175207272,0.0017079994883458238,0.0025987685018982742,0.001469351908285857,0.0014047714653464272,0.0034608896808583506
"{SW_IN, SW_IN_POT, dSW_IN_POT, LST_Day, NDWI_SWIR2, PFT}",9.121086785528482e-07,0.05763372665509208,0.05849198000766879,0.061701700637280615,0.057204859867202494,0.002573794370943412,0.0032387824870784565,0.0014810874523708273,0.0009898296872440232,0.003406490997590786
"{VPD, SW_IN, SW_IN_POT, dSW_IN_POT_daily, LST_Night}",1.586782125667887e-05,0.07310560125263806,0.059847860631109695,0.0774681053609238,-0.5954745962620264,0.012851273214431205,0.001453598496056939,0.0032606094254261087,0.0036810906614561517,0.0062754475624936384
"{SW_IN_POT_daily, dSW_IN_POT, LST_Day, LST_Night, NIRv, PFT}",4.1818271600820426e-07,0.0817441471838507,0.07995199846522019,0.09637002858776075,-0.13335268066217756,0.002615600826674516,0.0023226804139378915,0.0020369284348671773,0.002186405126869871,0.003835174399321392
"{dSW_IN_POT, dSW_IN_POT_daily, LST_Day}",3.7737939254015717e-07,0.09283224992350915,0.08472287716612319,0.1009160968697899,-0.5591343516564508,0.0053422321640491655,0.004026930146261154,0.004277582146763451,0.005083376664878958,0.003748976561732481
"{TA, VPD, SW_IN_POT, LST_Day, LST_Night, PFT}",2.750263050234378e-06,0.06495918964922388,0.057565452746605225,0.07647896457552711,-0.20297731590447232,0.005012409579693532,0.003810547440155146,0.002574946719396662,0.0011987250994027407,0.005820361459595663
"{TA, VPD, SW_IN, SW_IN_POT, SW_IN_POT_daily, LST_Day, LST_Night, EVI, NIRv}",2.3608882426913573e-07,0.05831896449838399,0.05150899323007428,0.05856858356514034,0.10497488876796023,0.0023398015447381112,0.0017297567974609365,0.002056189813986392,0.001448199734403556,0.0028485307639835172
"{TA, SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT, LST_Day, NIRv, NDWI_SWIR2, PFT}",2.061700353152698e-06,0.06041326852672268,0.05861292588741414,0.06759919883166718,-0.015116737752587428,0.0020344715353205686,0.002593106629994839,0.0021461712154757923,0.00020581895128692768,0.004697731085975404
